,0
знаменитый,3.228826155721369
скрипка,2.6692103677859462
всегда,1.213923135179104
удивительный,2.312535423847214
правильно,3.005682604407159
иногда,2.217225244042889
рустихогромный,0.0
карамзин,3.228826155721369
побелый,3.5165082281731497
елена,1.3192836508369303
вид,2.5356789751614235
лафет,3.228826155721369
хайям,0.0
тоска,1.7247487589450947
мухацокотуха,3.005682604407159
ценный,3.9219733362813143
игорев,3.228826155721369
известный,0.0
афанасий,0.0
куликовый,2.8233610476132043
таинственный,2.41789593950504
совершать,3.005682604407159
родимый,2.312535423847214
какой,0.951558870711613
советский,0.0
игорь,1.670681537674819
больной,2.312535423847214
ужас,2.312535423847214
ночь,0.0
хорошо,0.0
баллада,1.5240780634829436
седой,2.6692103677859462
михалков,0.0
двенадцать,3.005682604407159
демон,3.005682604407159
глина,2.5356789751614235
твой,0.951558870711613
немытый,2.6692103677859462
тургенев,2.5356789751614235
машенька,3.005682604407159
валерик,3.5165082281731497
любя,2.6692103677859462
купол,3.5165082281731497
юлия,0.0
мартышка,3.228826155721369
или,0.030153038170687457
позволять,2.6692103677859462
классно,2.5356789751614235
царевна,2.6692103677859462
даниил,2.217225244042889
марш,3.005682604407159
сознание,3.5165082281731497
волноваться,2.312535423847214
воздвигнуть,0.0
птичка,2.312535423847214
чтобы,1.670681537674819
почему,1.670681537674819
задуматься,2.130213867053259
корней,0.0
вечер,1.2478246868547855
опасть,2.41789593950504
дойти,3.9219733362813143
игра,2.5356789751614235
необычайный,3.5165082281731497
предать,2.8233610476132043
очки,2.8233610476132043
отечественный,2.6692103677859462
роща,1.9760631872260008
содержание,0.0
пир,3.5165082281731497
хранить,2.41789593950504
скалолазка,3.5165082281731497
завещание,3.005682604407159
храм,2.8233610476132043
гармония,3.228826155721369
вчера,2.217225244042889
юг,3.5165082281731497
зима,0.0
ресторан,3.005682604407159
одинокий,0.0
годунов,3.005682604407159
чистописание,3.005682604407159
баратынский,2.41789593950504
самый,0.8539204011476971
стол,2.8233610476132043
сколько,1.670681537674819
женский,0.0
девочка,1.9760631872260008
муза,2.6692103677859462
роза,1.670681537674819
счастие,1.3962446919730587
шум,3.005682604407159
щенок,2.6692103677859462
тропинка,2.8233610476132043
вероника,0.0
дышать,2.130213867053259
сайт,0.0
жуковский,2.130213867053259
пёстрый,3.005682604407159
яковлев,2.8233610476132043
первый,1.0316015783851493
нечего,3.005682604407159
робкий,3.228826155721369
гармоника,3.228826155721369
герой,2.217225244042889
тот,0.5720692490067093
муса,2.41789593950504
ведь,1.7247487589450947
шестой,3.228826155721369
бой,2.130213867053259
цветок,1.6193882432872684
распродажа,3.5165082281731497
отстрадать,3.228826155721369
за,0.4407332469456224
мориц,0.0
расхитить,3.5165082281731497
париж,2.6692103677859462
сокол,3.228826155721369
ладья,3.5165082281731497
бродский,0.0
максим,2.41789593950504
пиндемонтить,3.5165082281731497
прочитать,1.7247487589450947
юрий,1.8425317946014783
дружба,0.0
нервно,3.5165082281731497
окружный,3.228826155721369
война,0.0
филат,2.5356789751614235
зелёный,0.0
король,2.5356789751614235
встретить,2.6692103677859462
июль,2.41789593950504
фелица,3.5165082281731497
осень,0.0
грустно,2.0501711593797225
отношение,2.41789593950504
осип,2.312535423847214
кинжал,2.6692103677859462
корова,2.6692103677859462
вельможа,3.5165082281731497
бальмонт,1.9760631872260008
райский,3.228826155721369
чем,1.3570239788197773
человеческий,2.6692103677859462
светлана,1.2829160066660557
берендей,3.228826155721369
вдохновлять,2.5356789751614235
пловец,3.5165082281731497
лесной,2.5356789751614235
сфинкс,3.005682604407159
тёркин,3.005682604407159
нива,2.130213867053259
рассеянный,2.8233610476132043
алеш,3.005682604407159
смятение,3.5165082281731497
силентиум,3.9219733362813143
двадцать,2.312535423847214
зверь,2.6692103677859462
блаженный,3.9219733362813143
берза,2.6692103677859462
вместо,2.8233610476132043
протяжение,3.5165082281731497
федотастрелец,3.5165082281731497
желтеть,2.6692103677859462
подвиг,3.005682604407159
посидеть,3.005682604407159
если,0.030153038170687457
право,0.0
бездна,2.5356789751614235
решение,3.005682604407159
вдруг,2.5356789751614235
