,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
считать,0.0,0.0,0.0,0.0012749820642908721,0.0,0.0,0.0,0.0005439562640965036,0.0012992212670340445,0.0,0.0010606162231659195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001172866795983823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001129570886710591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005439562640965036,0.0,0.0,0.0,0.001151134845244089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015662117336743488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011550260052843508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015794847144681992,0.0,0.0,0.0018180648767777616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017658666316793476,0.0,0.0
смочь,0.0,0.0,0.0,0.0,0.0017439935323131327,0.0,0.0,0.0006135673716760981,0.0,0.0,0.0,0.0017679934433082675,0.0,0.002143220967420958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022375766074960945,0.0,0.0,0.0,0.0,0.0,0.0,0.0006135673716760981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012919192311995607,0.0,0.0,0.0006959179728700614,0.0,0.0,0.0,0.0,0.0,0.001401536620513463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013671507087479834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
эмоция,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007082012119357776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011789798444284214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023332258459667363,0.002588952830054264,0.0,0.0,0.0007082012119357776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001951177169434171,0.0,0.0,0.0,0.0014911789764167297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
это,0.0,0.00012835562401997802,0.0002000591729431905,0.00045834452308626475,0.0,0.0,0.0006680425951712791,0.0002607298109570049,0.0001556860990964752,0.0005125298978600235,0.001143845824815386,0.000375646275801587,0.00015099733520235886,0.0,0.00027357757725416244,0.0,0.0009726858883595392,0.0005651978474867437,0.0,0.0010604575440614585,0.00013732401586039012,0.0003492148747323922,0.0,0.0004384402100670516,0.0007027250125121222,0.0006510759656561076,0.0002211275106878829,0.0,0.00015539067955359765,0.0,0.0,0.0,0.0,0.000812141039253679,0.0010910703081017227,0.0003991432402505896,0.0,0.0009752785405884791,0.0005942734987282001,0.0,0.0006932072922523643,0.0002147488324949632,0.0004765716088734004,0.00040473256074833263,0.00019451517369298329,0.0002607298109570049,0.00026516207703641435,0.0006251212833950074,0.0001449396249995504,0.0002758817118183469,0.00023330737357477485,0.00020890532684884175,0.00020186743169616918,0.0008724171320107879,0.0005599376965794595,0.00022642641877809944,0.0,0.0001795852809753201,0.0009478112051475227,0.00039465488252889624,0.00037971045498336615,0.0016469675823971256,0.0003753593038567424,0.0008124096044121623,7.393098536690879e-05,0.0,0.00020837376113166912,0.00039465488252889624,0.0001428329444036267,0.0008384732572499587,0.00044667757158952347,0.0004007710674946785,0.0005536285394349024,0.0,0.0008041658408322027,0.0,0.0001508119486643572,0.0012676608068846126,0.00015221354670027132,0.000355532075794845,0.0008620093486815365,0.00014980040510624261,0.0015252404883544703,0.00037883217328332753,0.0004423877509740178,0.0005678104723595638,0.0,0.0011072570788698047,0.00254169176857769,0.0004007710674946785,0.00019528828646600787,0.0008363324744654907,0.0,0.00021512492502122408,0.00041674752226333823,0.0009866372063222404,0.00018927015745318792,0.0,0.001058021810397235,0.0,0.00020610122850187742
вечный,0.0,0.0009309859836912454,0.0,0.0,0.0,0.0,0.0,0.00047277982827939597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007870614720781994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009817670373471314,0.0,0.0,0.0,0.0014147734599325474,0.0008620741039114869,0.0,0.0,0.0,0.000864164487286636,0.0,0.001410852868396709,0.00047277982827939597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010153317223846401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002722547246424818,0.0,0.0005362344787195436,0.0,0.0,0.0014312507411928061,0.0,0.0,0.0021598874821636893,0.0,0.0,0.0010188148500772118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014164603917210204,0.0,0.0,0.0,0.0,0.0,0.0013728098403582771,0.0,0.0,0.0,0.0
надо,0.0,0.0,0.0,0.0,0.0,0.0,0.0008721386857009216,0.0010211589334035997,0.0,0.0017843059897997991,0.0006636916744263092,0.0,0.0,0.0,0.0,0.0,0.001451262450979701,0.0,0.0,0.0009229611558748602,0.0014342269498782065,0.0009118095285473032,0.0,0.00152637240531357,0.0,0.0,0.0,0.0,0.0,0.0,0.0010567677155404083,0.0,0.0,0.0007068407750226201,0.0018992094843316885,0.0,0.0,0.0015278872647868863,0.0,0.0,0.0,0.0,0.0018665121338497415,0.0010567677155404083,0.0010157688097118414,0.0010211589334035997,0.0006923453894582059,0.000816104329940239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011224112044322446,0.0009378040984400992,0.0,0.0,0.0,0.0,0.0,0.0,0.0007721432480686462,0.0,0.0,0.0010304546238281572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007700576270504535,0.0,0.0,0.000722769581220313,0.003413019231449749,0.0,0.0,0.0,0.000997601871435502,0.0,0.0,0.0007360390170201122,0.0,0.0,0.0,0.0,0.0
советский,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
простор,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000933008285532807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002339659499782535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000933008285532807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
сильный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
толчок,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000933008285532807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000933008285532807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001058232990723187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
забросить,0.0,0.0012082212245805716,0.0,0.0,0.0,0.0,0.0,0.0006135673716760981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001006763353873406,0.0,0.0,0.0,0.0,0.0,0.0013229607687913123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006135673716760981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017666427989665497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001322204358974965,0.0,0.0,0.0028392086235079356,0.0,0.0014327976603762168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014471435693662164,0.0,0.0,0.0
